what,kind,bundleId,bundleVersion,description,time
java.specification.name,sysinfo,,,"Java Platform API Specification",1356648456221
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356648456221
java.specification.version,sysinfo,,,"1.6",1356648456221
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1356648456221
java.version,sysinfo,,,"1.6.0_24",1356648456221
java.vm.info,sysinfo,,,"mixed mode, sharing",1356648456221
java.vm.name,sysinfo,,,"OpenJDK Client VM",1356648456221
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1356648456221
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356648456221
java.vm.specification.version,sysinfo,,,"1.0",1356648456221
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1356648456221
java.vm.version,sysinfo,,,"20.0-b12",1356648456221
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1356648456225
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1356648456417
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1356648456506
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1356648456553
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1356648456571
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1356648456578
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1356648456598
started,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1356648456649
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1356648456677
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1356648456682
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1356648456687
started,bundle,com.android.ide.eclipse.ddms,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ddms",1356648456717
started,bundle,com.questoid.sqlitemanager,1.0.0,"com.questoid.sqlitemanager",1356648456768
started,bundle,com.objectaid.uml,1.0.11,"com.objectaid.uml",1356648456941
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1356648456994
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1356648457304
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1356648457305
started,bundle,com.android.ide.eclipse.traceview,20.0.3.v201208082019-427395,"com.android.ide.eclipse.traceview",1356648459962
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356648463216
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1356648463267
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1356648463270
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1356648463292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356648476366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1356648481027
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356648481046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356648495292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356648495802
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356648495816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356648529022
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1356648554389
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1356648554716
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1356648554723
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1356648555188
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1356648555189
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1356648555189
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1356648555190
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1356648555194
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1356648555194
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1356648555195
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1356648555195
stopped,bundle,overlay.com.android.ide.eclipse.adt.overlay,20.0.3.v201208082019-427395,"overlay.com.android.ide.eclipse.adt.overlay",1356648555196
stopped,bundle,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.adt",1356648555203
stopped,bundle,com.soyatec.database,3.7.1.20110624,"com.soyatec.database",1356648555203
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1356648555204
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1356648555205
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1356648555206
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1356648555207
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1356648555213
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1356648555229
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1356648555253
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1356648555253
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1356648555259
